Rozmiar tabu ; Sredni koszt ; Sredni czas
1 ; 5740.2 ; 0.1588
2 ; 5747 ; 0.1664
5 ; 5717 ; 0.1556
10 ; 5573.4 ; 0.1582
20 ; 5658.2 ; 0.1532
50 ; 5891 ; 0.1534
100 ; 5857 ; 0.1522
Ilosc sasiadow ; Sredni koszt ; Sredni czas
5 ; 6098 ; 0.0022
10 ; 6076 ; 0.0042
20 ; 6076 ; 0.0076
40 ; 6053.2 ; 0.0154
100 ; 5712 ; 0.0378
200 ; 5535 ; 0.077
400 ; 5632.6 ; 0.1498
800 ; 5592 ; 0.314
Ilosc iteracji ; Sredni koszt ; Sredni czas
5 ; 5891 ; 0.0054
10 ; 5820 ; 0.0086
20 ; 5859.6 ; 0.0154
40 ; 5797 ; 0.0322
100 ; 5601 ; 0.0742
200 ; 5562.8 ; 0.1626
400 ; 5460.4 ; 0.3202
800 ; 5322 ; 0.6046
Ilosc iteracji dla losowych sasiadow ; Sredni koszt ; Sredni czas
5 ; 5687 ; 0.0196
10 ; 5687 ; 0.0368
20 ; 5639 ; 0.0792
40 ; 5584.4 ; 0.146
100 ; 5570.2 ; 0.371
200 ; 5557.4 ; 0.712
400 ; 5564.8 ; 1.4434
800 ; 5561.4 ; 2.8172
